Epoch: [ 0/100], cls_loss: 3.4232, transfer_loss: 0.1628, kl_loss_src: 3784.8429, kl_loss_tar: 3748.6170, total_Loss: 3.5046, acc: 0.0461
Epoch: [ 1/100], cls_loss: 3.3589, transfer_loss: 0.1627, kl_loss_src: 3780.8984, kl_loss_tar: 3753.9392, total_Loss: 3.4402, acc: 0.0678
Epoch: [ 2/100], cls_loss: 3.3044, transfer_loss: 0.1619, kl_loss_src: 3784.9917, kl_loss_tar: 3726.4937, total_Loss: 3.3853, acc: 0.0763
Epoch: [ 3/100], cls_loss: 3.2328, transfer_loss: 0.1626, kl_loss_src: 3790.3360, kl_loss_tar: 3710.8847, total_Loss: 3.3141, acc: 0.0923
Epoch: [ 4/100], cls_loss: 3.1624, transfer_loss: 0.1633, kl_loss_src: 3784.7799, kl_loss_tar: 3696.7432, total_Loss: 3.2441, acc: 0.1392
Epoch: [ 5/100], cls_loss: 3.0814, transfer_loss: 0.1653, kl_loss_src: 3773.0185, kl_loss_tar: 3671.9477, total_Loss: 3.1640, acc: 0.1605
Epoch: [ 6/100], cls_loss: 2.9729, transfer_loss: 0.1631, kl_loss_src: 3762.5422, kl_loss_tar: 3700.0565, total_Loss: 3.0544, acc: 0.2354
Epoch: [ 7/100], cls_loss: 2.8644, transfer_loss: 0.1645, kl_loss_src: 3732.6327, kl_loss_tar: 3659.0504, total_Loss: 2.9467, acc: 0.3241
Epoch: [ 8/100], cls_loss: 2.7179, transfer_loss: 0.1634, kl_loss_src: 3745.3408, kl_loss_tar: 3624.1154, total_Loss: 2.7996, acc: 0.3532
Epoch: [ 9/100], cls_loss: 2.5879, transfer_loss: 0.1635, kl_loss_src: 3755.3239, kl_loss_tar: 3643.8900, total_Loss: 2.6696, acc: 0.4054
Epoch: [10/100], cls_loss: 2.4106, transfer_loss: 0.1636, kl_loss_src: 3737.2104, kl_loss_tar: 3669.8023, total_Loss: 2.4924, acc: 0.4274
Epoch: [11/100], cls_loss: 2.2514, transfer_loss: 0.1637, kl_loss_src: 3695.2117, kl_loss_tar: 3634.8583, total_Loss: 2.3332, acc: 0.4473
Epoch: [12/100], cls_loss: 2.0692, transfer_loss: 0.1639, kl_loss_src: 3762.6813, kl_loss_tar: 3626.4345, total_Loss: 2.1512, acc: 0.4665
Epoch: [13/100], cls_loss: 1.8753, transfer_loss: 0.1634, kl_loss_src: 3726.3349, kl_loss_tar: 3650.5477, total_Loss: 1.9570, acc: 0.4661
Epoch: [14/100], cls_loss: 1.7008, transfer_loss: 0.1631, kl_loss_src: 3756.4855, kl_loss_tar: 3643.8453, total_Loss: 1.7824, acc: 0.5087
Epoch: [15/100], cls_loss: 1.5632, transfer_loss: 0.1634, kl_loss_src: 3748.0890, kl_loss_tar: 3636.8029, total_Loss: 1.6449, acc: 0.5183
Epoch: [16/100], cls_loss: 1.4057, transfer_loss: 0.1642, kl_loss_src: 3707.7047, kl_loss_tar: 3591.6453, total_Loss: 1.4879, acc: 0.5119
Epoch: [17/100], cls_loss: 1.2878, transfer_loss: 0.1631, kl_loss_src: 3714.7064, kl_loss_tar: 3606.1004, total_Loss: 1.3693, acc: 0.5399
Epoch: [18/100], cls_loss: 1.2012, transfer_loss: 0.1637, kl_loss_src: 3716.0191, kl_loss_tar: 3607.7225, total_Loss: 1.2831, acc: 0.5289
Epoch: [19/100], cls_loss: 1.1052, transfer_loss: 0.1630, kl_loss_src: 3711.2686, kl_loss_tar: 3620.4512, total_Loss: 1.1867, acc: 0.5339
Epoch: [20/100], cls_loss: 1.0024, transfer_loss: 0.1638, kl_loss_src: 3686.3047, kl_loss_tar: 3610.0412, total_Loss: 1.0843, acc: 0.5573
Epoch: [21/100], cls_loss: 0.9199, transfer_loss: 0.1626, kl_loss_src: 3692.9719, kl_loss_tar: 3586.6273, total_Loss: 1.0012, acc: 0.5470
Epoch: [22/100], cls_loss: 0.8507, transfer_loss: 0.1632, kl_loss_src: 3643.2237, kl_loss_tar: 3601.6451, total_Loss: 0.9323, acc: 0.5502
Epoch: [23/100], cls_loss: 0.7840, transfer_loss: 0.1622, kl_loss_src: 3686.9228, kl_loss_tar: 3581.4277, total_Loss: 0.8652, acc: 0.5517
Epoch: [24/100], cls_loss: 0.7207, transfer_loss: 0.1624, kl_loss_src: 3700.7045, kl_loss_tar: 3572.0896, total_Loss: 0.8019, acc: 0.5609
Epoch: [25/100], cls_loss: 0.6579, transfer_loss: 0.1638, kl_loss_src: 3659.8301, kl_loss_tar: 3543.2006, total_Loss: 0.7398, acc: 0.5687
Epoch: [26/100], cls_loss: 0.6447, transfer_loss: 0.1619, kl_loss_src: 3661.7449, kl_loss_tar: 3553.1450, total_Loss: 0.7256, acc: 0.5747
Epoch: [27/100], cls_loss: 0.6146, transfer_loss: 0.1629, kl_loss_src: 3653.7322, kl_loss_tar: 3550.9785, total_Loss: 0.6961, acc: 0.5907
Epoch: [28/100], cls_loss: 0.5418, transfer_loss: 0.1625, kl_loss_src: 3620.1611, kl_loss_tar: 3545.8034, total_Loss: 0.6230, acc: 0.5857
Epoch: [29/100], cls_loss: 0.5529, transfer_loss: 0.1620, kl_loss_src: 3651.6432, kl_loss_tar: 3527.3490, total_Loss: 0.6339, acc: 0.5847
Epoch: [30/100], cls_loss: 0.5123, transfer_loss: 0.1625, kl_loss_src: 3656.0154, kl_loss_tar: 3516.2141, total_Loss: 0.5935, acc: 0.5907
Epoch: [31/100], cls_loss: 0.4647, transfer_loss: 0.1617, kl_loss_src: 3655.6910, kl_loss_tar: 3517.8597, total_Loss: 0.5456, acc: 0.5985
Epoch: [32/100], cls_loss: 0.4858, transfer_loss: 0.1626, kl_loss_src: 3640.7299, kl_loss_tar: 3488.2403, total_Loss: 0.5671, acc: 0.5971
Epoch: [33/100], cls_loss: 0.4088, transfer_loss: 0.1633, kl_loss_src: 3647.2555, kl_loss_tar: 3502.7112, total_Loss: 0.4904, acc: 0.5996
Epoch: [34/100], cls_loss: 0.4239, transfer_loss: 0.1627, kl_loss_src: 3622.9180, kl_loss_tar: 3503.5048, total_Loss: 0.5052, acc: 0.5974
Epoch: [35/100], cls_loss: 0.4230, transfer_loss: 0.1640, kl_loss_src: 3622.1820, kl_loss_tar: 3487.1047, total_Loss: 0.5050, acc: 0.5964
Epoch: [36/100], cls_loss: 0.3694, transfer_loss: 0.1610, kl_loss_src: 3634.4061, kl_loss_tar: 3505.3082, total_Loss: 0.4499, acc: 0.6049
Epoch: [37/100], cls_loss: 0.3543, transfer_loss: 0.1611, kl_loss_src: 3612.8088, kl_loss_tar: 3510.3752, total_Loss: 0.4348, acc: 0.5985
Epoch: [38/100], cls_loss: 0.3497, transfer_loss: 0.1598, kl_loss_src: 3621.8786, kl_loss_tar: 3487.9585, total_Loss: 0.4297, acc: 0.5914
Epoch: [39/100], cls_loss: 0.3465, transfer_loss: 0.1598, kl_loss_src: 3648.1107, kl_loss_tar: 3484.7443, total_Loss: 0.4264, acc: 0.6042
Epoch: [40/100], cls_loss: 0.3416, transfer_loss: 0.1591, kl_loss_src: 3625.8186, kl_loss_tar: 3518.8794, total_Loss: 0.4211, acc: 0.5939
Epoch: [41/100], cls_loss: 0.2897, transfer_loss: 0.1581, kl_loss_src: 3618.5990, kl_loss_tar: 3509.9400, total_Loss: 0.3687, acc: 0.6067
Epoch: [42/100], cls_loss: 0.2737, transfer_loss: 0.1598, kl_loss_src: 3635.4468, kl_loss_tar: 3509.3696, total_Loss: 0.3535, acc: 0.6088
Epoch: [43/100], cls_loss: 0.3208, transfer_loss: 0.1589, kl_loss_src: 3650.1134, kl_loss_tar: 3447.9387, total_Loss: 0.4002, acc: 0.6106
Epoch: [44/100], cls_loss: 0.3105, transfer_loss: 0.1577, kl_loss_src: 3649.8680, kl_loss_tar: 3519.8805, total_Loss: 0.3893, acc: 0.5978
Epoch: [45/100], cls_loss: 0.2990, transfer_loss: 0.1581, kl_loss_src: 3692.0250, kl_loss_tar: 3508.5897, total_Loss: 0.3780, acc: 0.6102
Epoch: [46/100], cls_loss: 0.2626, transfer_loss: 0.1546, kl_loss_src: 3689.6189, kl_loss_tar: 3538.0892, total_Loss: 0.3399, acc: 0.6038
Epoch: [47/100], cls_loss: 0.2698, transfer_loss: 0.1533, kl_loss_src: 3703.8703, kl_loss_tar: 3540.9970, total_Loss: 0.3465, acc: 0.6049
Epoch: [48/100], cls_loss: 0.2756, transfer_loss: 0.1545, kl_loss_src: 3675.1074, kl_loss_tar: 3570.6133, total_Loss: 0.3528, acc: 0.6010
Epoch: [49/100], cls_loss: 0.2324, transfer_loss: 0.1526, kl_loss_src: 3713.8563, kl_loss_tar: 3573.0742, total_Loss: 0.3087, acc: 0.6116
Epoch: [50/100], cls_loss: 0.2645, transfer_loss: 0.1521, kl_loss_src: 3787.3437, kl_loss_tar: 3645.0003, total_Loss: 0.3406, acc: 0.6010
Epoch: [51/100], cls_loss: 0.2731, transfer_loss: 0.1512, kl_loss_src: 3739.4727, kl_loss_tar: 3635.3767, total_Loss: 0.3487, acc: 0.6120
Epoch: [52/100], cls_loss: 0.2545, transfer_loss: 0.1485, kl_loss_src: 3803.8950, kl_loss_tar: 3692.5081, total_Loss: 0.3287, acc: 0.6134
Epoch: [53/100], cls_loss: 0.2008, transfer_loss: 0.1455, kl_loss_src: 3901.2604, kl_loss_tar: 3674.0992, total_Loss: 0.2736, acc: 0.6035
Epoch: [54/100], cls_loss: 0.2504, transfer_loss: 0.1459, kl_loss_src: 3933.2951, kl_loss_tar: 3746.7153, total_Loss: 0.3234, acc: 0.6088
Epoch: [55/100], cls_loss: 0.2375, transfer_loss: 0.1429, kl_loss_src: 3982.2343, kl_loss_tar: 3841.0152, total_Loss: 0.3090, acc: 0.6060
Epoch: [56/100], cls_loss: 0.2358, transfer_loss: 0.1389, kl_loss_src: 4010.5830, kl_loss_tar: 3850.5389, total_Loss: 0.3053, acc: 0.6042
Epoch: [57/100], cls_loss: 0.2033, transfer_loss: 0.1389, kl_loss_src: 4025.3642, kl_loss_tar: 3941.0335, total_Loss: 0.2727, acc: 0.6045
