Epoch: [ 0/100], cls_loss: 3.4256, transfer_loss: 0.1622, kl_loss_src: 3610.1850, kl_loss_tar: 3576.0475, total_Loss: 3.5067, acc: 0.0334
Epoch: [ 1/100], cls_loss: 3.3861, transfer_loss: 0.1628, kl_loss_src: 3591.6974, kl_loss_tar: 3573.3276, total_Loss: 3.4675, acc: 0.0355
Epoch: [ 2/100], cls_loss: 3.3442, transfer_loss: 0.1616, kl_loss_src: 3639.0134, kl_loss_tar: 3564.8560, total_Loss: 3.4250, acc: 0.0554
Epoch: [ 3/100], cls_loss: 3.3108, transfer_loss: 0.1638, kl_loss_src: 3601.4956, kl_loss_tar: 3543.1972, total_Loss: 3.3927, acc: 0.0518
Epoch: [ 4/100], cls_loss: 3.2789, transfer_loss: 0.1617, kl_loss_src: 3626.1938, kl_loss_tar: 3561.0058, total_Loss: 3.3597, acc: 0.0724
Epoch: [ 5/100], cls_loss: 3.2397, transfer_loss: 0.1647, kl_loss_src: 3598.4887, kl_loss_tar: 3568.4085, total_Loss: 3.3220, acc: 0.0870
Epoch: [ 6/100], cls_loss: 3.2000, transfer_loss: 0.1618, kl_loss_src: 3580.0624, kl_loss_tar: 3529.3090, total_Loss: 3.2809, acc: 0.1232
Epoch: [ 7/100], cls_loss: 3.1395, transfer_loss: 0.1610, kl_loss_src: 3581.2688, kl_loss_tar: 3529.3567, total_Loss: 3.2200, acc: 0.1424
Epoch: [ 8/100], cls_loss: 3.0862, transfer_loss: 0.1624, kl_loss_src: 3580.1856, kl_loss_tar: 3552.4694, total_Loss: 3.1674, acc: 0.1693
Epoch: [ 9/100], cls_loss: 3.0200, transfer_loss: 0.1620, kl_loss_src: 3571.6546, kl_loss_tar: 3521.9701, total_Loss: 3.1010, acc: 0.1750
Epoch: [10/100], cls_loss: 2.9358, transfer_loss: 0.1643, kl_loss_src: 3575.7671, kl_loss_tar: 3515.7410, total_Loss: 3.0180, acc: 0.2208
Epoch: [11/100], cls_loss: 2.8407, transfer_loss: 0.1617, kl_loss_src: 3564.6647, kl_loss_tar: 3531.1684, total_Loss: 2.9216, acc: 0.2183
Epoch: [12/100], cls_loss: 2.7441, transfer_loss: 0.1630, kl_loss_src: 3595.6756, kl_loss_tar: 3513.3990, total_Loss: 2.8256, acc: 0.2481
Epoch: [13/100], cls_loss: 2.6426, transfer_loss: 0.1613, kl_loss_src: 3578.3078, kl_loss_tar: 3527.2887, total_Loss: 2.7233, acc: 0.2673
