Epoch: [ 0/100], cls_loss: 3.4291, transfer_loss: 0.1676, kl_loss_src: 3615.0759, kl_loss_tar: 3591.5283, total_Loss: 3.5129, acc: 0.0667
Epoch: [ 1/100], cls_loss: 3.3791, transfer_loss: 0.1687, kl_loss_src: 3586.8269, kl_loss_tar: 3517.3867, total_Loss: 3.4635, acc: 0.1157
Epoch: [ 2/100], cls_loss: 3.3244, transfer_loss: 0.1668, kl_loss_src: 3579.7960, kl_loss_tar: 3567.3881, total_Loss: 3.4078, acc: 0.1132
Epoch: [ 3/100], cls_loss: 3.2699, transfer_loss: 0.1672, kl_loss_src: 3563.2939, kl_loss_tar: 3554.2401, total_Loss: 3.3536, acc: 0.1182
Epoch: [ 4/100], cls_loss: 3.2186, transfer_loss: 0.1670, kl_loss_src: 3602.8842, kl_loss_tar: 3542.7399, total_Loss: 3.3021, acc: 0.1447
Epoch: [ 5/100], cls_loss: 3.1676, transfer_loss: 0.1664, kl_loss_src: 3560.6934, kl_loss_tar: 3523.2996, total_Loss: 3.2508, acc: 0.1560
Epoch: [ 6/100], cls_loss: 3.1096, transfer_loss: 0.1694, kl_loss_src: 3554.6883, kl_loss_tar: 3540.3990, total_Loss: 3.1943, acc: 0.2151
Epoch: [ 7/100], cls_loss: 3.0335, transfer_loss: 0.1677, kl_loss_src: 3593.6773, kl_loss_tar: 3514.1365, total_Loss: 3.1173, acc: 0.2365
Epoch: [ 8/100], cls_loss: 2.9585, transfer_loss: 0.1683, kl_loss_src: 3566.7626, kl_loss_tar: 3505.9782, total_Loss: 3.0427, acc: 0.2516
Epoch: [ 9/100], cls_loss: 2.8880, transfer_loss: 0.1668, kl_loss_src: 3547.2596, kl_loss_tar: 3539.0563, total_Loss: 2.9714, acc: 0.2956
Epoch: [10/100], cls_loss: 2.7861, transfer_loss: 0.1669, kl_loss_src: 3586.6867, kl_loss_tar: 3483.7103, total_Loss: 2.8696, acc: 0.3623
Epoch: [11/100], cls_loss: 2.6976, transfer_loss: 0.1676, kl_loss_src: 3553.1185, kl_loss_tar: 3515.8671, total_Loss: 2.7814, acc: 0.3585
Epoch: [12/100], cls_loss: 2.5938, transfer_loss: 0.1681, kl_loss_src: 3559.0015, kl_loss_tar: 3481.9690, total_Loss: 2.6779, acc: 0.4164
Epoch: [13/100], cls_loss: 2.4712, transfer_loss: 0.1678, kl_loss_src: 3538.6042, kl_loss_tar: 3469.3829, total_Loss: 2.5552, acc: 0.4340
Epoch: [14/100], cls_loss: 2.3790, transfer_loss: 0.1677, kl_loss_src: 3512.1556, kl_loss_tar: 3517.9448, total_Loss: 2.4629, acc: 0.4503
Epoch: [15/100], cls_loss: 2.2661, transfer_loss: 0.1671, kl_loss_src: 3512.0800, kl_loss_tar: 3490.0749, total_Loss: 2.3497, acc: 0.4730
Epoch: [16/100], cls_loss: 2.1022, transfer_loss: 0.1696, kl_loss_src: 3522.0439, kl_loss_tar: 3479.7904, total_Loss: 2.1870, acc: 0.5208
Epoch: [17/100], cls_loss: 2.0101, transfer_loss: 0.1664, kl_loss_src: 3513.0586, kl_loss_tar: 3476.1386, total_Loss: 2.0933, acc: 0.5585
Epoch: [18/100], cls_loss: 1.8622, transfer_loss: 0.1649, kl_loss_src: 3578.9648, kl_loss_tar: 3506.6172, total_Loss: 1.9446, acc: 0.5748
Epoch: [19/100], cls_loss: 1.8009, transfer_loss: 0.1651, kl_loss_src: 3531.1593, kl_loss_tar: 3498.4687, total_Loss: 1.8834, acc: 0.6340
Epoch: [20/100], cls_loss: 1.6710, transfer_loss: 0.1669, kl_loss_src: 3514.7477, kl_loss_tar: 3472.1181, total_Loss: 1.7544, acc: 0.6553
Epoch: [21/100], cls_loss: 1.5227, transfer_loss: 0.1661, kl_loss_src: 3519.1034, kl_loss_tar: 3468.2126, total_Loss: 1.6058, acc: 0.6629
Epoch: [22/100], cls_loss: 1.4455, transfer_loss: 0.1658, kl_loss_src: 3509.4370, kl_loss_tar: 3439.4970, total_Loss: 1.5284, acc: 0.6956
Epoch: [23/100], cls_loss: 1.3334, transfer_loss: 0.1664, kl_loss_src: 3510.5238, kl_loss_tar: 3462.3847, total_Loss: 1.4166, acc: 0.7447
Epoch: [24/100], cls_loss: 1.2210, transfer_loss: 0.1678, kl_loss_src: 3498.0265, kl_loss_tar: 3442.4316, total_Loss: 1.3049, acc: 0.7673
Epoch: [25/100], cls_loss: 1.1471, transfer_loss: 0.1668, kl_loss_src: 3489.5268, kl_loss_tar: 3408.2869, total_Loss: 1.2305, acc: 0.7723
Epoch: [26/100], cls_loss: 1.0767, transfer_loss: 0.1668, kl_loss_src: 3462.4791, kl_loss_tar: 3401.9050, total_Loss: 1.1601, acc: 0.7786
Epoch: [27/100], cls_loss: 0.9927, transfer_loss: 0.1655, kl_loss_src: 3509.7593, kl_loss_tar: 3451.5177, total_Loss: 1.0755, acc: 0.8088
