Epoch: [ 0/100], cls_loss: 3.4277, transfer_loss: 0.1642, kl_loss_src: 3427.4352, kl_loss_tar: 3429.0489, total_Loss: 3.5098, acc: 0.0541
Epoch: [ 1/100], cls_loss: 3.3924, transfer_loss: 0.1669, kl_loss_src: 3419.9495, kl_loss_tar: 3410.3515, total_Loss: 3.4759, acc: 0.0390
Epoch: [ 2/100], cls_loss: 3.3538, transfer_loss: 0.1678, kl_loss_src: 3423.8910, kl_loss_tar: 3434.7540, total_Loss: 3.4377, acc: 0.0390
Epoch: [ 3/100], cls_loss: 3.3226, transfer_loss: 0.1657, kl_loss_src: 3416.7381, kl_loss_tar: 3450.5611, total_Loss: 3.4054, acc: 0.0428
Epoch: [ 4/100], cls_loss: 3.3006, transfer_loss: 0.1678, kl_loss_src: 3398.7858, kl_loss_tar: 3398.9066, total_Loss: 3.3844, acc: 0.0403
Epoch: [ 5/100], cls_loss: 3.2725, transfer_loss: 0.1665, kl_loss_src: 3388.8896, kl_loss_tar: 3403.7287, total_Loss: 3.3558, acc: 0.0692
Epoch: [ 6/100], cls_loss: 3.2527, transfer_loss: 0.1659, kl_loss_src: 3424.4939, kl_loss_tar: 3397.4397, total_Loss: 3.3357, acc: 0.0503
Epoch: [ 7/100], cls_loss: 3.2121, transfer_loss: 0.1653, kl_loss_src: 3395.8832, kl_loss_tar: 3394.8097, total_Loss: 3.2948, acc: 0.1082
Epoch: [ 8/100], cls_loss: 3.1889, transfer_loss: 0.1658, kl_loss_src: 3418.7535, kl_loss_tar: 3377.6991, total_Loss: 3.2718, acc: 0.1208
Epoch: [ 9/100], cls_loss: 3.1437, transfer_loss: 0.1658, kl_loss_src: 3408.1474, kl_loss_tar: 3353.4429, total_Loss: 3.2266, acc: 0.1623
Epoch: [10/100], cls_loss: 3.1281, transfer_loss: 0.1648, kl_loss_src: 3399.2558, kl_loss_tar: 3412.1241, total_Loss: 3.2105, acc: 0.1509
Epoch: [11/100], cls_loss: 3.0894, transfer_loss: 0.1655, kl_loss_src: 3379.0919, kl_loss_tar: 3370.2753, total_Loss: 3.1722, acc: 0.1836
Epoch: [12/100], cls_loss: 3.0416, transfer_loss: 0.1673, kl_loss_src: 3459.0736, kl_loss_tar: 3402.2190, total_Loss: 3.1252, acc: 0.2164
Epoch: [13/100], cls_loss: 2.9673, transfer_loss: 0.1662, kl_loss_src: 3435.9581, kl_loss_tar: 3354.8999, total_Loss: 3.0504, acc: 0.2289
Epoch: [14/100], cls_loss: 2.9314, transfer_loss: 0.1680, kl_loss_src: 3404.4996, kl_loss_tar: 3389.5568, total_Loss: 3.0153, acc: 0.2289
Epoch: [15/100], cls_loss: 2.8812, transfer_loss: 0.1650, kl_loss_src: 3425.7120, kl_loss_tar: 3368.7524, total_Loss: 2.9637, acc: 0.2352
Epoch: [16/100], cls_loss: 2.8304, transfer_loss: 0.1660, kl_loss_src: 3382.1207, kl_loss_tar: 3337.4998, total_Loss: 2.9134, acc: 0.2365
Epoch: [17/100], cls_loss: 2.7676, transfer_loss: 0.1649, kl_loss_src: 3468.5182, kl_loss_tar: 3354.0465, total_Loss: 2.8501, acc: 0.2541
Epoch: [18/100], cls_loss: 2.6800, transfer_loss: 0.1660, kl_loss_src: 3413.4886, kl_loss_tar: 3375.9918, total_Loss: 2.7630, acc: 0.2667
Epoch: [19/100], cls_loss: 2.6214, transfer_loss: 0.1656, kl_loss_src: 3421.6394, kl_loss_tar: 3377.9230, total_Loss: 2.7042, acc: 0.3069
Epoch: [20/100], cls_loss: 2.5429, transfer_loss: 0.1642, kl_loss_src: 3362.5788, kl_loss_tar: 3372.1823, total_Loss: 2.6250, acc: 0.3082
Epoch: [21/100], cls_loss: 2.4798, transfer_loss: 0.1650, kl_loss_src: 3463.2233, kl_loss_tar: 3382.5952, total_Loss: 2.5623, acc: 0.3371
Epoch: [22/100], cls_loss: 2.3987, transfer_loss: 0.1647, kl_loss_src: 3396.2003, kl_loss_tar: 3333.1064, total_Loss: 2.4811, acc: 0.3333
Epoch: [23/100], cls_loss: 2.3047, transfer_loss: 0.1659, kl_loss_src: 3404.3685, kl_loss_tar: 3352.2108, total_Loss: 2.3877, acc: 0.3711
Epoch: [24/100], cls_loss: 2.1920, transfer_loss: 0.1662, kl_loss_src: 3455.0088, kl_loss_tar: 3333.0881, total_Loss: 2.2751, acc: 0.4038
Epoch: [25/100], cls_loss: 2.1563, transfer_loss: 0.1648, kl_loss_src: 3425.4374, kl_loss_tar: 3338.5562, total_Loss: 2.2386, acc: 0.4264
Epoch: [26/100], cls_loss: 2.0739, transfer_loss: 0.1650, kl_loss_src: 3454.7496, kl_loss_tar: 3346.8916, total_Loss: 2.1564, acc: 0.4352
Epoch: [27/100], cls_loss: 2.0004, transfer_loss: 0.1642, kl_loss_src: 3432.7003, kl_loss_tar: 3339.5261, total_Loss: 2.0826, acc: 0.4642
Epoch: [28/100], cls_loss: 1.9014, transfer_loss: 0.1662, kl_loss_src: 3452.0408, kl_loss_tar: 3358.4318, total_Loss: 1.9845, acc: 0.4994
Epoch: [29/100], cls_loss: 1.8553, transfer_loss: 0.1658, kl_loss_src: 3413.1615, kl_loss_tar: 3333.4192, total_Loss: 1.9382, acc: 0.5384
