Epoch: [ 0/100], cls_loss: 3.4373, transfer_loss: 0.1626, kl_loss_src: 3690.8809, kl_loss_tar: 3629.2549, total_Loss: 3.5187, acc: 0.0863
Epoch: [ 1/100], cls_loss: 3.3966, transfer_loss: 0.1620, kl_loss_src: 3731.6341, kl_loss_tar: 3574.0351, total_Loss: 3.4776, acc: 0.0884
Epoch: [ 2/100], cls_loss: 3.3530, transfer_loss: 0.1630, kl_loss_src: 3737.6501, kl_loss_tar: 3575.4372, total_Loss: 3.4345, acc: 0.0944
Epoch: [ 3/100], cls_loss: 3.3134, transfer_loss: 0.1632, kl_loss_src: 3713.7890, kl_loss_tar: 3632.1561, total_Loss: 3.3950, acc: 0.0823
Epoch: [ 4/100], cls_loss: 3.2926, transfer_loss: 0.1636, kl_loss_src: 3720.9385, kl_loss_tar: 3583.8131, total_Loss: 3.3744, acc: 0.0904
Epoch: [ 5/100], cls_loss: 3.2341, transfer_loss: 0.1620, kl_loss_src: 3751.3955, kl_loss_tar: 3609.8701, total_Loss: 3.3151, acc: 0.1145
Epoch: [ 6/100], cls_loss: 3.1891, transfer_loss: 0.1619, kl_loss_src: 3733.0014, kl_loss_tar: 3570.9789, total_Loss: 3.2700, acc: 0.1787
Epoch: [ 7/100], cls_loss: 3.1403, transfer_loss: 0.1638, kl_loss_src: 3657.5444, kl_loss_tar: 3607.4346, total_Loss: 3.2222, acc: 0.1606
Epoch: [ 8/100], cls_loss: 3.0844, transfer_loss: 0.1612, kl_loss_src: 3715.2999, kl_loss_tar: 3606.1686, total_Loss: 3.1650, acc: 0.1466
Epoch: [ 9/100], cls_loss: 3.0393, transfer_loss: 0.1627, kl_loss_src: 3696.5570, kl_loss_tar: 3556.4214, total_Loss: 3.1206, acc: 0.2470
Epoch: [10/100], cls_loss: 2.9818, transfer_loss: 0.1616, kl_loss_src: 3673.4740, kl_loss_tar: 3604.7286, total_Loss: 3.0626, acc: 0.2932
Epoch: [11/100], cls_loss: 2.9180, transfer_loss: 0.1641, kl_loss_src: 3628.7756, kl_loss_tar: 3545.1640, total_Loss: 3.0000, acc: 0.2771
Epoch: [12/100], cls_loss: 2.8381, transfer_loss: 0.1618, kl_loss_src: 3669.6217, kl_loss_tar: 3593.9637, total_Loss: 2.9190, acc: 0.3454
Epoch: [13/100], cls_loss: 2.7597, transfer_loss: 0.1631, kl_loss_src: 3701.7688, kl_loss_tar: 3571.7234, total_Loss: 2.8412, acc: 0.3896
Epoch: [14/100], cls_loss: 2.7012, transfer_loss: 0.1624, kl_loss_src: 3667.4678, kl_loss_tar: 3495.4600, total_Loss: 2.7824, acc: 0.4498
Epoch: [15/100], cls_loss: 2.5831, transfer_loss: 0.1643, kl_loss_src: 3670.7568, kl_loss_tar: 3545.6529, total_Loss: 2.6653, acc: 0.4980
Epoch: [16/100], cls_loss: 2.4658, transfer_loss: 0.1642, kl_loss_src: 3683.5824, kl_loss_tar: 3532.4025, total_Loss: 2.5479, acc: 0.5000
Epoch: [17/100], cls_loss: 2.3635, transfer_loss: 0.1636, kl_loss_src: 3629.0884, kl_loss_tar: 3487.1102, total_Loss: 2.4453, acc: 0.5281
