Epoch: [ 0/100], cls_loss: 3.4402, transfer_loss: 0.1616, kl_loss_src: 3609.3551, kl_loss_tar: 3562.0411, total_Loss: 3.5210, acc: 0.0321
Epoch: [ 1/100], cls_loss: 3.4081, transfer_loss: 0.1611, kl_loss_src: 3544.1785, kl_loss_tar: 3526.8240, total_Loss: 3.4886, acc: 0.0562
Epoch: [ 2/100], cls_loss: 3.3856, transfer_loss: 0.1622, kl_loss_src: 3637.8041, kl_loss_tar: 3504.5871, total_Loss: 3.4667, acc: 0.0502
Epoch: [ 3/100], cls_loss: 3.3537, transfer_loss: 0.1624, kl_loss_src: 3555.2345, kl_loss_tar: 3508.1859, total_Loss: 3.4349, acc: 0.0582
Epoch: [ 4/100], cls_loss: 3.3448, transfer_loss: 0.1626, kl_loss_src: 3576.6322, kl_loss_tar: 3472.0399, total_Loss: 3.4260, acc: 0.0843
Epoch: [ 5/100], cls_loss: 3.3280, transfer_loss: 0.1625, kl_loss_src: 3578.5248, kl_loss_tar: 3547.5380, total_Loss: 3.4093, acc: 0.0984
Epoch: [ 6/100], cls_loss: 3.2843, transfer_loss: 0.1620, kl_loss_src: 3557.9138, kl_loss_tar: 3491.9563, total_Loss: 3.3653, acc: 0.1145
Epoch: [ 7/100], cls_loss: 3.2625, transfer_loss: 0.1626, kl_loss_src: 3547.4380, kl_loss_tar: 3494.6458, total_Loss: 3.3438, acc: 0.0944
Epoch: [ 8/100], cls_loss: 3.2360, transfer_loss: 0.1621, kl_loss_src: 3566.5828, kl_loss_tar: 3516.3604, total_Loss: 3.3170, acc: 0.1145
Epoch: [ 9/100], cls_loss: 3.2174, transfer_loss: 0.1620, kl_loss_src: 3594.2779, kl_loss_tar: 3467.3034, total_Loss: 3.2984, acc: 0.1225
Epoch: [10/100], cls_loss: 3.1942, transfer_loss: 0.1608, kl_loss_src: 3594.3981, kl_loss_tar: 3469.5091, total_Loss: 3.2745, acc: 0.1566
Epoch: [11/100], cls_loss: 3.1720, transfer_loss: 0.1623, kl_loss_src: 3545.7063, kl_loss_tar: 3485.9493, total_Loss: 3.2532, acc: 0.1928
Epoch: [12/100], cls_loss: 3.1203, transfer_loss: 0.1591, kl_loss_src: 3594.3391, kl_loss_tar: 3489.4486, total_Loss: 3.1999, acc: 0.2309
Epoch: [13/100], cls_loss: 3.0732, transfer_loss: 0.1610, kl_loss_src: 3569.9286, kl_loss_tar: 3467.7628, total_Loss: 3.1537, acc: 0.2229
Epoch: [14/100], cls_loss: 3.0454, transfer_loss: 0.1616, kl_loss_src: 3588.9772, kl_loss_tar: 3434.7627, total_Loss: 3.1262, acc: 0.2590
Epoch: [15/100], cls_loss: 2.9932, transfer_loss: 0.1621, kl_loss_src: 3580.1117, kl_loss_tar: 3444.7456, total_Loss: 3.0742, acc: 0.3153
Epoch: [16/100], cls_loss: 2.9671, transfer_loss: 0.1617, kl_loss_src: 3531.3623, kl_loss_tar: 3420.5305, total_Loss: 3.0479, acc: 0.2972
Epoch: [17/100], cls_loss: 2.9033, transfer_loss: 0.1600, kl_loss_src: 3601.6866, kl_loss_tar: 3515.5042, total_Loss: 2.9833, acc: 0.3193
Epoch: [18/100], cls_loss: 2.8366, transfer_loss: 0.1598, kl_loss_src: 3542.5516, kl_loss_tar: 3478.2785, total_Loss: 2.9165, acc: 0.3213
Epoch: [19/100], cls_loss: 2.8038, transfer_loss: 0.1624, kl_loss_src: 3556.8995, kl_loss_tar: 3421.6729, total_Loss: 2.8851, acc: 0.3353
Epoch: [20/100], cls_loss: 2.7386, transfer_loss: 0.1618, kl_loss_src: 3584.3888, kl_loss_tar: 3482.5170, total_Loss: 2.8194, acc: 0.3855
Epoch: [21/100], cls_loss: 2.6592, transfer_loss: 0.1612, kl_loss_src: 3593.0031, kl_loss_tar: 3425.0786, total_Loss: 2.7398, acc: 0.4157
Epoch: [22/100], cls_loss: 2.5994, transfer_loss: 0.1615, kl_loss_src: 3605.5308, kl_loss_tar: 3445.7913, total_Loss: 2.6802, acc: 0.3835
Epoch: [23/100], cls_loss: 2.5060, transfer_loss: 0.1600, kl_loss_src: 3528.4004, kl_loss_tar: 3426.1274, total_Loss: 2.5860, acc: 0.3876
Epoch: [24/100], cls_loss: 2.4328, transfer_loss: 0.1615, kl_loss_src: 3555.0946, kl_loss_tar: 3433.5707, total_Loss: 2.5136, acc: 0.4317
Epoch: [25/100], cls_loss: 2.3437, transfer_loss: 0.1616, kl_loss_src: 3568.7963, kl_loss_tar: 3461.3110, total_Loss: 2.4245, acc: 0.4177
Epoch: [26/100], cls_loss: 2.2908, transfer_loss: 0.1598, kl_loss_src: 3517.6574, kl_loss_tar: 3467.6424, total_Loss: 2.3707, acc: 0.4799
Epoch: [27/100], cls_loss: 2.2410, transfer_loss: 0.1603, kl_loss_src: 3538.6416, kl_loss_tar: 3429.9418, total_Loss: 2.3212, acc: 0.4679
Epoch: [28/100], cls_loss: 2.1378, transfer_loss: 0.1602, kl_loss_src: 3548.4869, kl_loss_tar: 3424.6433, total_Loss: 2.2179, acc: 0.5060
Epoch: [29/100], cls_loss: 2.1365, transfer_loss: 0.1615, kl_loss_src: 3613.6330, kl_loss_tar: 3444.1406, total_Loss: 2.2173, acc: 0.5582
Epoch: [30/100], cls_loss: 1.9573, transfer_loss: 0.1609, kl_loss_src: 3576.4175, kl_loss_tar: 3462.8713, total_Loss: 2.0377, acc: 0.5181
Epoch: [31/100], cls_loss: 1.9645, transfer_loss: 0.1597, kl_loss_src: 3533.5369, kl_loss_tar: 3398.4950, total_Loss: 2.0444, acc: 0.5382
Epoch: [32/100], cls_loss: 1.8623, transfer_loss: 0.1600, kl_loss_src: 3563.7433, kl_loss_tar: 3439.6602, total_Loss: 1.9423, acc: 0.5843
Epoch: [33/100], cls_loss: 1.8058, transfer_loss: 0.1603, kl_loss_src: 3553.9154, kl_loss_tar: 3437.4754, total_Loss: 1.8860, acc: 0.6044
Epoch: [34/100], cls_loss: 1.7667, transfer_loss: 0.1620, kl_loss_src: 3535.3081, kl_loss_tar: 3419.3417, total_Loss: 1.8477, acc: 0.5783
Epoch: [35/100], cls_loss: 1.7222, transfer_loss: 0.1606, kl_loss_src: 3575.3896, kl_loss_tar: 3413.2941, total_Loss: 1.8025, acc: 0.5984
Epoch: [36/100], cls_loss: 1.5877, transfer_loss: 0.1607, kl_loss_src: 3542.6412, kl_loss_tar: 3445.6420, total_Loss: 1.6681, acc: 0.5944
